base_code,target_code,rate,rate_date,fetched_at
USD,USD,1,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AED,3.6725,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AFN,63.34504658,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ALL,82.12520475,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AMD,368.22832154,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ANG,1.79,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AOA,924.99978971,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ARS,1395.3478,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AUD,1.39940369,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AWG,1.79,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,AZN,1.70068582,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BAM,1.68253192,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BBD,2,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BDT,122.89427363,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BGN,1.68253192,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BHD,0.376,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BIF,2979.88275737,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BMD,1,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BND,1.27976013,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BOB,6.91728038,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BRL,5.0485741,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BSD,1,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BTN,96.1394086,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BWP,14.19063089,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BYN,2.7834928,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,BZD,2,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CAD,1.37509325,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CDF,2281.14621373,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CHF,0.78695273,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CLF,0.02277691,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CLP,900.33997722,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CNH,6.81219801,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CNY,6.81799306,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,COP,3787.37681223,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CRC,455.21942968,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CUP,24,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CVE,94.8571101,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,CZK,20.9287856,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,DJF,177.721,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,DKK,6.41746924,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,DOP,59.62247399,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,DZD,132.51976609,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,EGP,53.14399021,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ERN,15,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ETB,156.15424032,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,EUR,0.86039445,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,FJD,2.19784141,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,FKP,0.75027568,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,FOK,6.41748145,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GBP,0.7504636,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GEL,2.67333853,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GGP,0.75027568,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GHS,11.42452659,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GIP,0.75027568,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GMD,74.17270278,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GNF,8766.2644248,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GTQ,7.63171281,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,GYD,209.12803157,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,HKD,7.83073349,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,HNL,26.6459956,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,HRK,6.48166595,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,HTG,130.79702037,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,HUF,310.63749741,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,IDR,17555.40924514,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ILS,2.91993855,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,IMP,0.75027568,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,INR,96.09332793,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,IQD,1310.94284447,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,IRR,1117949.09943323,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,ISK,123.50328304,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,JEP,0.75027568,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,JMD,158.52410882,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,JOD,0.709,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,JPY,158.75678064,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KES,129.28980405,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KGS,87.48825444,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KHR,4034.84944423,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KID,1.3990049,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KMF,423.22259126,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KRW,1498.79797075,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KWD,0.30778999,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KYD,0.833333,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,KZT,470.09351124,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,LAK,21928.62388051,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,LBP,89500,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,LKR,325.88864148,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,LRD,183.39934578,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,LSL,16.67993556,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,LYD,6.3244893,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MAD,9.23269312,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MDL,17.27810185,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MGA,4198.47251327,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MKD,52.96330497,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MMK,2101.21938917,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MNT,3570.47969544,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MOP,8.06570592,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MRU,40.00800651,2026-05-18,2026-06-17T14:36:23.548790+00:00
USD,MUR,47.15326914,2026-05-18,2026-06-17T14:36:23.548790+00:00
