base_code,target_code,rate,rate_date,fetched_at
USD,USD,1,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AED,3.6725,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AFN,64.25850569,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,ALL,81.8020761,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AMD,368.42014398,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,ANG,1.79,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AOA,926.52815224,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,ARS,1432.6696,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AUD,1.41468184,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AWG,1.79,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,AZN,1.70049429,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BAM,1.68660871,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BBD,2.0,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BDT,122.78439505,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BGN,1.68660871,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BHD,0.376,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BIF,2990.61402515,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BMD,1.0,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BND,1.28272785,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BOB,6.92662095,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BRL,5.08487779,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BSD,1.0,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BTN,94.54794745,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BWP,13.60875192,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BYN,2.76356778,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,BZD,2.0,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CAD,1.40053214,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CDF,2316.60023205,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CHF,0.7929581,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CLF,0.02244084,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CLP,887.00704523,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CNH,6.75893479,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CNY,6.77217325,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,COP,3442.90044975,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CRC,454.53073214,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CUP,24.0,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CVE,95.08694996,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,CZK,20.81945025,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,DJF,177.721,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,DKK,6.43923649,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,DOP,58.52844908,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,DZD,133.07416783,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,EGP,50.0033435,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,ERN,15.0,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,ETB,158.69030347,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,EUR,0.86236692,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,FJD,2.23477376,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,FKP,0.74586388,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,FOK,6.43906797,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,GBP,0.74588813,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,GEL,2.65338378,2026-06-17,2026-06-17T15:05:59.287507+00:00
USD,GGP,0.74586388,2026-06-17,2026-06-17T15:05:59.287507+00:00
