base_code,target_code,rate,rate_date,fetched_at
EUR,EUR,1,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AED,4.31244614,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AFN,77.06511981,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ALL,96.82266229,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AMD,447.92873613,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ANG,2.10191384,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AOA,1102.63684644,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ARS,1705.30970859,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AUD,1.75786362,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AWG,2.10191384,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,AZN,1.99508941,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BAM,1.95583,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BBD,2.34850709,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BDT,143.61698035,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BGN,1.95583,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BHD,0.44151933,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BIF,3483.20567503,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BMD,1.17425354,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BND,1.50965943,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BOB,8.13809527,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BRL,6.43133057,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BSD,1.17425354,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BTN,105.49866979,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BWP,16.0200419,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BYN,3.42817895,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,BZD,2.34850709,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CAD,1.61019474,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CDF,2675.55223881,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CHF,0.93107573,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CLF,0.02682322,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CLP,1060.50229945,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CNH,8.20199953,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CNY,8.2151727,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,COP,4421.53223893,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CRC,583.06955407,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CUP,28.18208504,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CVE,110.265,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,CZK,24.20296119,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,DJF,208.68951401,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,DKK,7.46115016,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,DOP,74.05489682,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,DZD,152.00440999,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,EGP,55.98159822,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ERN,17.61380315,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ETB,181.58003697,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,FJD,2.67011715,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,FKP,0.87260557,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,FOK,7.46115022,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GBP,0.87259922,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GEL,3.16511997,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GGP,0.87260557,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GHS,12.29046696,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GIP,0.87260557,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GMD,86.54697929,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GNF,10262.26879756,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GTQ,9.00391551,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,GYD,245.56438356,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,HKD,9.13830062,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,HNL,30.97339204,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,HRK,7.5345,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,HTG,153.67509644,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,HUF,384.91746657,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,IDR,19611.29054132,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ILS,3.73926917,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,IMP,0.87260557,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,INR,105.50030935,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,IQD,1538.72961373,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,IRR,50013.48853628,2026-01-01,2026-06-17T15:06:24.191825+00:00
EUR,ISK,147.18576844,2026-01-01,2026-06-17T15:06:24.191825+00:00
