base_code,target_code,rate,rate_date,fetched_at
GBP,GBP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AED,4.94338656,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AFN,88.33757106,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ALL,110.9849263,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AMD,512.84044425,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ANG,2.40943824,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AOA,1263.18541492,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ARS,1954.8082043,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AUD,2.01413956,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AWG,2.40943824,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,AZN,2.28578575,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BAM,2.24136534,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BBD,2.69210977,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BDT,164.5977215,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BGN,2.01478706,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BHD,0.50611664,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BIF,3991.39805825,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BMD,1.34605488,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BND,1.73028188,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BOB,9.32845519,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BRL,7.37118609,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BSD,1.34605488,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BTN,120.87099104,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BWP,18.35562133,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BYN,3.9266316,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,BZD,2.69210977,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CAD,1.84502616,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CDF,3068.01492537,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CHF,1.06719151,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CLF,0.03073126,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CLP,1215.0852627,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CNH,9.39579488,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CNY,9.41730452,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,COP,5068.27227426,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CRC,668.35530493,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CUP,32.3053172,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CVE,126.36279681,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,CZK,27.74200696,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,DJF,239.22221992,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,DKK,8.55166517,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,DOP,84.88691803,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,DZD,174.23816889,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,EGP,64.17473421,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ERN,20.19082325,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ETB,208.15687102,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,EUR,1.14600273,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,FJD,3.05989511,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,FKP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,FOK,8.55166222,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GEL,3.62389032,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GGP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GHS,14.08498065,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GIP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GMD,99.1835307,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GNF,11760.64828747,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GTQ,10.32092121,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,GYD,281.58493151,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,HKD,10.47139657,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,HNL,35.50387489,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,HRK,8.63447597,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,HTG,176.21688813,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,HUF,441.18517645,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,IDR,22469.77061391,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ILS,4.28486399,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,IMP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,INR,120.87433651,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,IQD,1764.43776824,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,IRR,57411.51953302,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,ISK,168.66260685,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,JEP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,JMD,213.72916179,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,JOD,0.95435291,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,JPY,210.90203912,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KES,173.53994668,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KGS,117.52090947,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KHR,5409.39473684,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KID,2.01475904,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KMF,563.79105635,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KRW,1941.33367357,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KWD,0.41249975,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KYD,1.12171195,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,KZT,679.73727955,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,LAK,29212.3367222,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,LBP,120471.91205702,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,LKR,416.90691057,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,LRD,240.03879213,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,LSL,22.29884895,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,LYD,7.27828627,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MAD,12.26213186,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MDL,22.55652709,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MGA,6144.05740903,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MKD,70.5865,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MMK,2827.77283868,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MNT,4757.86173801,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MOP,10.7871788,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MRU,53.62822854,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MUR,61.87502324,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MVR,20.79593562,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MWK,2347.13775106,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MXN,24.22033238,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MYR,5.46032149,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,MZN,86.00810721,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,NAD,22.29884895,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,NGN,1939.13081818,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,NIO,49.48294556,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,NOK,13.56441492,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,NPR,193.39358567,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,NZD,2.33546078,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,OMR,0.51755406,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PAB,1.34605488,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PEN,4.52336391,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PGK,5.73268229,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PHP,79.28395912,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PKR,377.26343549,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PLN,4.83850891,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,PYG,8990.28206041,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,QAR,4.89963978,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,RON,5.8385822,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,RSD,134.40267316,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,RUB,107.03463371,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,RWF,1964.12890206,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SAR,5.04770581,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SBD,10.90877992,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SCR,19.15934616,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SDG,601.9238653,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SEK,12.40498065,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SGD,1.73031123,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SHP,1,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SLE,32.29601265,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SLL,32295.3858975,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SOS,768.43738318,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SRD,51.23554337,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SSP,6353.5678428,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,STN,28.07680154,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SYP,14803.35364469,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,SZL,22.29884895,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,THB,42.47615825,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TJS,12.43272003,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TMT,4.70194083,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TND,3.88681282,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TOP,3.22891165,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TRY,57.8345053,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TTD,9.29208537,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TVD,2.01475904,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TWD,42.19743162,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,TZS,3305.53794704,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,UAH,56.92099313,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,UGX,4844.89447038,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,USD,1.346081,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,UYU,52.74534174,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,UZS,16283.52890775,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,VES,405.66964431,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,VND,35219.8501269,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,VUV,162.4371564,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,WST,3.71308718,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,XAF,751.72140847,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,XCD,3.63434818,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,XCG,2.40943824,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,XDR,0.97396012,2026-01-01,2026-06-17T15:06:41.848208+00:00
GBP,XOF,751.72140847,2026-01-01,2026-06-17T15:06:41.848208+00:00
