base_code,target_code,rate,rate_date,fetched_at
USD,USD,1,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AED,3.6725,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AFN,64.27358756,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ALL,81.80250659,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AMD,368.34744241,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ANG,1.79,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AOA,922.41405719,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ARS,1432.6696,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AUD,1.41478311,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AWG,1.79,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,AZN,1.70064116,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BAM,1.68611266,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BBD,2.0,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BDT,122.76137178,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BGN,1.68611266,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BHD,0.376,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BIF,2990.14025111,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BMD,1.0,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BND,1.28257544,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BOB,6.92652867,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BRL,5.07757055,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BSD,1.0,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BTN,94.56631773,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BWP,13.59970216,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BYN,2.76801161,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,BZD,2.0,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,CAD,1.40017795,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,CDF,2313.97494772,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,CHF,0.79284136,2026-06-17,2026-06-17T14:35:12.316418+00:00
