base_code,target_code,rate,rate_date,fetched_at
USD,USD,1,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AED,3.6725,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AFN,65.718622,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,ALL,82.35777452,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AMD,381.03425981,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,ANG,1.79,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AOA,919.89392987,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,ARS,1452.25,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AUD,1.49739038,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AWG,1.79,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,AZN,1.69798373,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BAM,1.6655933,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BBD,2,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BDT,122.24412125,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BGN,1.58437476,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BHD,0.376,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BIF,2959.66199956,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BMD,1,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BND,1.28552912,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BOB,6.92065774,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BRL,5.47787146,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BSD,1,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BTN,89.93870542,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BWP,13.3526678,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BYN,2.92295809,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,BZD,2,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CAD,1.37071191,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CDF,2257.59598488,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CHF,0.79301254,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CLF,0.02284552,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CLP,903.18856134,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CNH,6.9837315,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CNY,7.00092093,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,COP,3763.37134348,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CRC,496.03084812,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CUP,24,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CVE,93.90215167,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,CZK,20.60688238,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,DJF,177.721,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,DKK,6.35323842,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,DOP,62.98074109,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,DZD,129.34486473,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,EGP,47.69730123,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,ERN,15,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,ETB,154.39511953,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,EUR,0.85160003,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,FJD,2.26988309,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,FKP,0.74291077,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,FOK,6.35323829,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GBP,0.74289831,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GEL,2.6933141,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GGP,0.74291077,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GHS,10.46950262,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GIP,0.74291077,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GMD,73.50952976,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GNF,8735.16229658,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GTQ,7.65967631,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,GYD,208.86571584,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,HKD,7.78271949,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,HNL,26.33874941,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,HRK,6.41641284,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,HTG,130.83827956,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,HUF,327.76268288,2026-01-01,2026-06-17T15:06:06.043560+00:00
USD,IDR,16703.54890803,2026-01-01,2026-06-17T15:06:06.043560+00:00
